Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Grethe,Berg,Hagenlunden 81,Haugen,6899,Norge,NO,19711209-4340,+47,43 70 57 99,1971-12-09,True
Olof,Jonsson,Storgränd 4,Trollhättan,90440,Sverige,SE,19930527-7570,+46,08-442 987 80,1993-05-27,True
Sofia,Korhonen,Yrjönkuja 293,Rovaniemi,38747,Finland,FI,19680510-427K,+358,046 093 4274,1968-05-10,True
Joshua,Hicks,Ashley Forge 1510,Heatherport,44850,Danmark,DK,19411225-6744,+45,001-441-626-9776x32619,1941-12-25,True
Bertil,Sjögren,Kyrktorget 2,Västerås,41396,Sverige,SE,19800627-7627,+46,052-99 91 47,1980-06-27,True
Andreas,Petersson,Kvarntorget 5,Stockholm,93929,Sverige,SE,19771006-0516,+46,059-87 16 96,1977-10-06,True
Thomas,Svendsen,Abrahamsenberget 3B,Antonsen,9999,Norge,NO,19530627-9060,+47,93940295,1953-06-27,True
Ivar,Aune,Amundsenløkka 4,Elseborg,8914,Norge,NO,19540109-6908,+47,+4781690167,1954-01-09,True
Ellen,Johansson,Granvägen 4,Skövde,35286,Sverige,SE,19501120-8789,+46,+46 (0)321 456 05,1950-11-20,True
Catherine,Moore,Rachel Drives 249,Shepherdtown,90359,Danmark,DK,19640119-4121,+45,(356)702-7794,1964-01-19,True
Lennart,Mårtensson,Kvarntorget 96,Örnsköldsvik,60769,Sverige,SE,19610107-5059,+46,+46 (0)69 13 61 16,1961-01-07,True
Hanna,Petersson,Gengatan 680,Landskrona,37997,Sverige,SE,19970307-7268,+46,0284-592 11,1997-03-07,True
Aino,Tamminen,Jägerhorninkuja 05,Alavieska,44998,Finland,FI,19810627-6790,+358,0187130800,1981-06-27,True
Emilia,Kauppinen,Kuhankeittäjäntie 47,Evijärvi,02378,Finland,FI,19401126-461J,+358,+358 83 5923391,1940-11-26,True
Emilie,Ahmed,Hagenlia 3,Audvær,9597,Norge,NO,19580927-5925,+47,427 67 925,1958-09-27,True
Tom,Andresen,Hagenløkka 6,Lund,0578,Norge,NO,19631115-7558,+47,+47 28 21 16 31,1963-11-15,True
Kristine,Ali,Strandholtet 6,Andresen,1389,Norge,NO,19740624-9707,+47,24 60 46 91,1974-06-24,True
Aina,Lindkvist,Kvarnvägen 12,Piteå,26855,Sverige,SE,19940430-5022,+46,023-98 43 82,1994-04-30,True
Hayley,Duncan,Timothy Trail 7651,East Sara,84610,Danmark,DK,19470908-9293,+45,(378)472-0743,1947-09-08,True
Hans,Sandberg,Storgatan 3,Nyköping,34422,Sverige,SE,19640425-8331,+46,08-575 99 25,1964-04-25,True
Øyvind,Johansen,Lienmoen 1A,Dahl,7211,Norge,NO,19571127-0587,+47,912 39 566,1957-11-27,True
Alicia,Barrett,Brown Shoal 204,East Derrickville,66861,Danmark,DK,19610818-6511,+45,001-377-322-7645x1172,1961-08-18,True
Stein,Ali,Lundetunet 2B,Larsdal,9387,Norge,NO,19511119-8182,+47,80 43 76 55,1951-11-19,True
Hanna,Wallin,Storstigen 288,Gävle,99460,Sverige,SE,19920928-2284,+47,+46 (0)33 97 77 11,1992-09-28,True
Nils,Björk,Skolgatan 7,Varberg,77506,Sverige,SE,19860602-2730,+46,0481-479 22,1986-06-02,True
Aud,Aas,Moehøgda 898,Hauge,5694,Norge,NO,19780619-9725,+47,+47 81 63 68 11,1978-06-19,True
Jennifer,Campbell,Barnes Trail 2947,Christianfurt,56283,Danmark,DK,19450306-4742,+45,899.550.7932x30195,1945-03-06,True
Emilie,Rasmussen,Jørgensensvingen 57D,Myklebust,7067,Sverige,NO,19980302-2750,+47,910 45 458,1998-03-02,True
Sverre,Gulbrandsen,Abrahamsenlunden 93B,Gulbrandsen,0895,Norge,NO,19930530-7886,+47,40624995,1993-05-30,True
Olav,Myklebust,Ødegårdhagen 6,Lie,0332,Norge,NO,19891003-9489,+47,90867040,1989-10-03,True
John,Moen,Hansentjernet 53,Frankdal,1672,Norge,NO,19880119-8643,+47,+4797635970,1988-01-19,True
Ture,Gustavsson,Grangränd 9,Karlstad,76567,Sverige,SE,19521106-0312,+46,0129-92 88 16,1952-11-06,True
Rune,Bakken,Pettersenhavna 21A,Pålnes,8665,Norge,NO,19430522-7898,+47,+4759584150,1943-05-22,True
Simen,Sæther,Bakkespranget 84,Grethefoss,9833,Norge,NO,19861230-5464,+47,46284745,1986-12-30,True
Linnéa,Gustafsson,Trädgårdsstigen 202,Trelleborg,35781,Sverige,SE,19630204-3408,+46,08-351 522 86,1963-02-04,True
Elisabeth,Karlsson,Kvarnstigen 368,Falun,16255,Sverige,SE,19650109-2228,+46,+46 (0)055 306 03,1965-01-09,False
Mary,Matthews,Cody River 095,Tuckerside,77568,Danmark,DK,19580401-7763,+45,863.260.0711,1958-04-01,True
Sander,Jacobsen,Strømstubben 594,Eliseodden,0764,Norge,NO,19780709-2564,+47,494 56 039,1978-07-09,True
Mark,Hickman,Rivera Groves 64768,Hayesside,32316,Danmark,DK,19520105-7518,+45,(442)535-7839x7749,1952-01-05,True
May,Larsen,Johannessenmarka 01,Lenemark,9158,Norge,NO,19950429-8510,+47,952 65 087,1995-04-29,True
Randi,Andreassen,Iversenvika 3,Rønning,0578,Norge,NO,19470606-4873,+47,+47 65 75 84 32,1947-06-06,True
Ulrika,Augustsson,Fabriksvägen 5,Lidingö,98868,Sverige,SE,19480312-4977,+46,0539-89 62 67,1948-03-12,True
Heather,Jones,Larry River 79784,Nortonview,91253,Danmark,DK,19840719-2494,+45,808.977.7629,1984-07-19,True
Torbjørn,Moe,Sørensenmoen 4,Tommyhelle,8270,Norge,NO,19740120-9398,+47,65260671,1974-01-20,True
Sebastian,Aasen,Abrahamsenrøa 1,Tangen,5698,Norge,NO,19440816-3628,+47,93661622,1944-08-16,True
Anders,Tangen,Lundebakken 8,Theaodden,6961,Norge,NO,19690331-3867,+47,+4772586054,1969-03-31,True
Evelyn,White,Leslie Extension 091,Chaseburgh,61826,Danmark,DK,19660425-7844,+45,855.714.4453x650,1966-04-25,True
Nora,Paulsen,Moenstykket 7,Myhre,1581,Norge,NO,19520905-5105,+47,80 11 44 55,1952-09-05,True
Björn,Petersson,Stationsvägen 36,Östersund,37481,Sverige,SE,19580628-4282,+46,+46 (0)8 124 445 60,1958-06-28,True
Maren,Pettersen,Dahlmyra 3,Næss,5836,Norge,NO,20000521-7798,+47,40895333,2000-05-21,True
Leslie,Powell,Duane Garden 16323,Mccoychester,91812,Danmark,DK,19761204-3467,+45,+1-504-705-4136x826,1976-12-04,True
Arne,Pettersen,Nilsenmyra 4,Isaksen,4083,Norge,NO,19541228-4007,+47,26936413,1954-12-28,True
Juhani,Holm,Furustigen 7,Halmstad,89548,Sverige,SE,19500706-0379,+46,08-350 789 45,1950-07-06,True
Eva,Jensen,Hellandroa 8,Elisabethfjord,2447,Norge,NO,19570520-5185,+47,45562045,1957-05-20,True
Tara,Wu,Guerrero Divide 81722,New Chad,21741,Danmark,DK,19840913-0233,+46,8923931593,1984-09-13,True
Viktoria,Johansson,Gengatan 8,Lidingö,24753,Sverige,SE,19760813-0853,+46,+46 (0)390 368 72,1976-08-13,True
Øystein,Knutsen,Moehagen 1B,Espensund,8860,Norge,NO,19871221-8930,+47,93678432,1987-12-21,True
Jennifer,Kelly,Ortega Bridge 8203,Vazquezbury,15365,Danmark,DK,19400618-9012,+45,001-722-826-2649x327,1940-06-18,True
Åsa,Dahlström,Kvarnvägen 268,Malmö,82607,Sverige,SE,19550224-0941,+46,079-63 28 19,1955-02-24,True
Bertil,Svensson,Furutorget 88,Uppsala,76676,Sverige,SE,19770220-5230,+46,08-388 13 55,1977-02-20,True
Petter,Jenssen,Aunebakken 7,Beritstrøm,6409,Norge,NO,19690307-6930,+47,47925466,1969-03-07,True
Stein,Berge,Antonsenskogen 8,Kristoffersen,5438,Norge,NO,19670519-4615,+47,71357108,1967-05-19,True
Kenneth,Bakke,Mikkelsensvingen 50,Paulsen,5735,Norge,NO,19920127-1298,+47,+47 43 45 07 20,1992-01-27,True
Gunnel,Jakobsson,Järnvägsgatan 8,Karlskrona,48722,Sverige,SE,19471021-9136,+46,08-467 547 71,1947-10-21,True
Elizabeth,Allen,Julie Extension 55759,Fergusontown,93193,Danmark,DK,19600530-2189,+45,(874)528-6501x81769,1960-05-30,True
Kim,Haug,Ødegårdplassen 8D,Lindavåg,0476,Sverige,NO,19600308-5059,+47,46125515,1960-03-08,True
Kevin,Parker,Ballard Shoals 9015,East David,87679,Danmark,DK,19860217-2154,+45,732.524.1087,1986-02-17,True
Marie,Danielsson,Trädgårdsvägen 696,Skellefteå,19621,Sverige,SE,19540517-7148,+46,029-212 80 87,1954-05-17,True
Bo,Pettersson,Ringstigen 18,Mölndal,49153,Sverige,SE,19850812-6638,+46,08-418 493 52,1985-08-12,True
Chad,Ray,Melton Station 71643,Martinborough,74621,Danmark,DK,19661226-4398,+45,889-709-3612x62963,1966-12-26,True
Mikael,Väisänen,Osuuskunnanpolku 359,Kotka,95667,Finland,FI,19680819-616S,+358,+358497542603,1968-08-19,True
Thomas,Olsson,Åkergatan 19,Uppsala,82437,Sverige,SE,19911027-2384,+46,+46 (0)01 48 85 99,1991-10-27,True
Eric,Wikström,Björkvägen 7,Karlstad,52317,Sverige,SE,19680531-5832,+46,+46 (0)57 78 38 85,1968-05-31,True
Rolf,Thorsen,Nguyengrenda 47,Annahelle,9496,Norge,NO,19640510-6422,+47,40625072,1964-05-10,True
Terje,Lund,Svendsengropa 98,Ivarstrøm,3111,Norge,NO,19441104-6885,+47,11162101,1944-11-04,True
Irma,Mattsson,Stortorget 322,Skövde,24441,Sverige,SE,19840704-4807,+46,08-897 863 13,1984-07-04,True
Ulla,Moberg,Skogsgränd 22,Mölndal,87619,Sverige,SE,19951013-6168,+46,0891-60 99 49,1995-10-13,True
Bengt,Hansson,Backgatan 7,Lund,26323,Sverige,SE,19540531-7759,+46,08-12 66 89,1954-05-31,True
Thomas,Mårtensson,Grangränd 492,Karlskrona,14661,Sverige,SE,19540122-2018,+46,025-124 03 32,1954-01-22,True
Frode,Strand,Kristoffersenvika 80,Olsen,6309,Norge,NO,19850424-1807,+47,+47 67 20 23 28,1985-04-24,True
Hege,Andresen,Henriksenskrenten 80A,Thomashelle,4224,Norge,NO,19781105-8681,+47,01 20 67 78,1978-11-05,True
Benny,Larsson,Aspstigen 266,Uddevalla,55622,Sverige,SE,19870325-5892,+46,014-25 51 74,1987-03-25,True
Per,Gustafsson,Ektorget 400,Lund,83338,Sverige,SE,19410420-3216,+46,0102-78 40 13,1941-04-20,True
Kirsten,Arnesen,Aasfaret 1,Anetteø,3912,Norge,NO,20001217-6884,+47,43840637,2000-12-17,True
Patricia,Morales,Phillips Trail 0533,Lake William,09971,Danmark,DK,19470513-6222,+45,001-337-970-2470,1947-05-13,True
Maren,Thorsen,Aastunet 9E,Torilleid,4292,Norge,NO,19661022-7307,+47,413 77 178,1966-10-22,True
Aud,Kristoffersen,Engenlia 68,Eivindnes,6883,Norge,NO,19640322-8717,+47,93 13 30 30,1964-03-22,True
Matias,Luoma,Lepolankuja 40,Iitti,45871,Finland,FI,19690724-369Y,+358,+358808702128,1969-07-24,True
Dennis,Andersson,Backvägen 0,Mölndal,30628,Sverige,SE,19590805-0513,+46,+46 (0)38 22 28 35,1959-08-05,True
Karin,Johansson,Parkgränd 0,Sandviken,32950,Sverige,SE,19430311-6581,+46,084-42 49 12,1943-03-11,True
Mary,Johnson,Regina Ville 271,Jillberg,89930,Danmark,DK,19460507-3559,+45,001-628-836-9697x22001,1946-05-07,True
Sigrid,Sjöberg,Skoltorget 37,Jönköping,96831,Sverige,SE,19691026-4250,+46,08-141 798 12,1969-10-26,True
Gustav,Svensson,Strandgatan 17,Östersund,42687,Sverige,SE,19631209-1554,+46,0811-28 55 89,1963-12-09,True
Christian,Nilsson,Parkgatan 34,Ängelholm,56924,Sverige,SE,19991223-6954,+46,+46 (0)639 841 25,1999-12-23,True
Becky,Valenzuela,Brandon Flats 5096,Laurietown,12451,Danmark,DK,19500630-0529,+45,+1-600-627-3101,1950-06-30,True
Per,Danielsson,Skolgatan 55,Kristianstad,20930,Sverige,SE,19681021-3808,+46,08-196 402 32,1968-10-21,True
Gunnar,Strand,Storvägen 795,Södertälje,77720,Sverige,SE,19420616-3697,+46,08-754 712 08,1942-06-16,True
Sofia,Larsson,Industritorget 45,Lidingö,82419,Sverige,SE,19610327-7426,+46,092-187 76 43,1961-03-27,True
Kari,Brekke,Solbergflata 14,Iversen,6041,Norge,NO,19880930-9963,+47,93209426,1988-09-30,True
Renee,Martin,Jones Springs 5031,Lorifurt,04545,Danmark,DK,19760907-0691,+45,496.355.2769,1976-09-07,True
Per,Karlsson,Ekgatan 087,Örebro,82232,Sverige,SE,19711010-0877,+46,0691-853 18,1971-10-10,True
Elisabeth,Jonsson,Ekvägen 742,Örebro,56783,Sverige,SE,19910309-9581,+46,001-299 54 14,1991-03-09,True
Russell,Wood,Graham Valleys 5313,West Vanessaborough,17858,Danmark,DK,19870220-8932,+45,556.790.5524,1987-02-20,True
Veikko,Nieminen,Immolanpolku 468,Savonlinna,98726,Finland,FI,19530429-338M,+358,+358 10 2666110,1953-04-29,True
Sofie,Bøe,Ruudengen 6,Nygård,7123,Norge,NO,19830322-9672,+47,23 43 48 05,1983-03-22,True
Hans,Håkansson,Skolgränd 4,Lund,73367,Sverige,SE,19930822-0015,+46,08-15 71 20,1993-08-22,True
Sofie,Pettersson,Skolgatan 295,Luleå,44050,Sverige,SE,19681009-9882,+46,0403-37 44 69,1968-10-09,True
Kenneth,Nilsen,Holmberget 5,Håvardhavn,9313,Sverige,NO,19420531-4015,+47,933 33 259,1942-05-31,True
Monica,Johansson,Industrivägen 835,Östersund,52778,Sverige,SE,19671214-6085,+46,0510-45 82 81,1967-12-14,True
Synnøve,Mikkelsen,Kristoffersentoppen 01H,Trineodden,6352,Norge,NO,19751008-4010,+47,23277537,1975-10-08,True
Siri,Sørensen,Bergekollen 1,Eivindø,6820,Norge,NO,19830311-2688,+47,+4790394857,1983-03-11,True
Jessica,Klein,Tiffany Greens 6462,South Nathanview,75935,Danmark,DK,19610214-6297,+45,584.725.8745x84768,1961-02-14,True
David,Lundberg,Industrivägen 854,Karlskrona,37327,Sverige,SE,19771202-4062,+46,000-298 64 97,1977-12-02,True
Per,Nilsson,Kvarnstigen 1,Nyköping,41454,Sverige,SE,19720229-8290,+46,08-876 40 54,1972-02-29,True
Øystein,Solheim,Larseneggen 27,Emilby,2799,Norge,NO,19611205-1010,+47,42141710,1961-12-05,True
Timothy,Tran,Brad Oval 49352,North Jonathanville,54447,Danmark,DK,19490427-7113,+45,+1-610-495-0744x014,1949-04-27,True
Birgitta,Johansson,Kyrkogränd 045,Trollhättan,71045,Sverige,SE,19820313-2751,+46,08-408 351 70,1982-03-13,True
Per,Olsson,Idrottstorget 43,Lidingö,40506,Sverige,SE,19830516-7324,+46,0186-934 26,1983-05-16,True
Curtis,Walker,Estrada Ferry 4200,Tracyview,28754,Danmark,DK,19910729-4237,+45,001-448-847-3886x24939,1991-07-29,True
Stian,Evensen,Lieflata 47A,Birkeland,8625,Norge,NO,19510214-8971,+47,48675633,1951-02-14,True
Emma,Eriksson,Kyrkovägen 6,Karlskrona,70119,Sverige,SE,20001230-5596,+46,015-082 85 88,2000-12-30,True
Erik,Pettersson,Nygatan 06,Norrköping,14086,Sverige,SE,19571026-4773,+46,0413-32 24 66,1957-10-26,True
Lindsay,Ali,Howard Knoll 719,Sarahland,18031,Danmark,DK,19430523-9309,+45,(582)812-9772x70908,1943-05-23,True
Daniel,Wikström,Skogsgatan 524,Örebro,42699,Sverige,SE,19491017-9767,+46,0601-320 97,1949-10-17,True
Cathy,Miller,Morales Walks 18766,Brownview,03912,Danmark,DK,19591103-2561,+45,001-389-814-1903x413,1959-11-03,True
Jonas,Kristiansen,Aasenlyngen 14,Johannessen,1964,Norge,NO,19420920-0306,+47,95825320,1942-09-20,False
